# true knife region,view 1 region,view 2 region,view 3 region,view 4 region,view 5 region,view 6 region,view 7 region,view 8 region,view 9 region
1,1,1,1,1,1,1,1,1,1
2,1,1,1,1,1,1,1,2,2
3,2,2,2,2,2,1,1,3,3
4,2,2,2,2,2,2,2,4,4
5,3,3,3,3,3,2,2,4,5
6,3,3,3,3,3,2,2,5,5
7,4,4,4,4,4,3,3,5,6
8,4,4,4,4,4,3,3,6,6
9,5,5,5,5,5,3,3,6,7
10,5,5,5,5,5,4,4,7,7
11,6,6,6,6,6,4,4,7,7
12,6,6,6,6,6,4,5,8,8
13,7,7,7,7,7,5,5,8,8
14,7,7,7,7,7,5,6,8,8
15,8,8,8,8,8,6,6,9,9
16,8,8,8,8,8,6,7,9,9
17,9,9,9,9,9,7,7,9,9
18,9,9,9,9,9,8,8,10,10
19,10,10,10,10,10,9,9,10,10
20,10,10,10,10,10,10,10,10,10
21,1,1,1,1,1,1,1,1,1
22,1,1,1,1,1,1,1,2,2
23,2,2,2,2,2,1,1,3,3
24,2,2,2,2,2,2,2,4,4
25,3,3,3,3,3,2,2,4,5
26,3,3,3,3,3,2,2,5,5
27,4,4,4,4,4,3,3,5,6
28,4,4,4,4,4,3,3,6,6
29,5,5,5,5,5,3,3,6,7
30,5,5,5,5,5,4,4,7,7
31,6,6,6,6,6,4,4,7,7
32,6,6,6,6,6,4,5,8,8
33,7,7,7,7,7,5,5,8,8
34,7,7,7,7,7,5,6,8,8
35,8,8,8,8,8,6,6,9,9
36,8,8,8,8,8,6,7,9,9
37,9,9,9,9,9,7,7,9,9
38,9,9,9,9,9,8,8,10,10
39,10,10,10,10,10,9,9,10,10
40,10,10,10,10,10,10,10,10,10
41,11,1,1,1,1,1,1,1,1
42,11,1,1,1,1,1,1,2,2
43,12,2,2,2,2,1,1,3,3
44,12,2,2,2,2,2,2,4,4
45,13,3,3,3,3,2,2,4,5
46,13,3,3,3,3,2,2,5,5
47,14,4,4,4,4,3,3,5,6
48,14,4,4,4,4,3,3,6,6
49,15,5,5,5,5,3,3,6,7
50,15,5,5,5,5,4,4,7,7
51,16,6,6,6,6,4,4,7,7
52,16,6,6,6,6,4,5,8,8
53,17,7,7,7,7,5,5,8,8
54,17,7,7,7,7,5,6,8,8
55,18,8,8,8,8,6,6,9,9
56,18,8,8,8,8,6,7,9,9
57,19,9,9,9,9,7,7,9,9
58,19,9,9,9,9,8,8,10,10
59,20,10,10,10,10,9,9,10,10
60,20,10,10,10,10,10,10,10,10
61,11,11,1,1,1,1,1,1,1
62,11,11,1,1,1,1,1,2,2
63,12,12,2,2,2,1,1,3,3
64,12,12,2,2,2,2,2,4,4
65,13,13,3,3,3,2,2,4,5
66,13,13,3,3,3,2,2,5,5
67,14,14,4,4,4,3,3,5,6
68,14,14,4,4,4,3,3,6,6
69,15,15,5,5,5,3,3,6,7
70,15,15,5,5,5,4,4,7,7
71,16,16,6,6,6,4,4,7,7
72,16,16,6,6,6,4,5,8,8
73,17,17,7,7,7,5,5,8,8
74,17,17,7,7,7,5,6,8,8
75,18,18,8,8,8,6,6,9,9
76,18,18,8,8,8,6,7,9,9
77,19,19,9,9,9,7,7,9,9
78,19,19,9,9,9,8,8,10,10
79,20,20,10,10,10,9,9,10,10
80,20,20,10,10,10,10,10,10,10
81,11,11,11,1,1,11,11,11,11
82,11,11,11,1,1,11,11,12,12
83,12,12,12,2,2,11,11,13,13
84,12,12,12,2,2,12,12,14,14
85,13,13,13,3,3,12,12,14,15
86,13,13,13,3,3,12,12,15,15
87,14,14,14,4,4,13,13,15,16
88,14,14,14,4,4,13,13,16,16
89,15,15,15,5,5,13,13,16,17
90,15,15,15,5,5,14,14,17,17
91,16,16,16,6,6,14,14,17,17
92,16,16,16,6,6,14,15,18,18
93,17,17,17,7,7,15,15,18,18
94,17,17,17,7,7,15,16,18,18
95,18,18,18,8,8,16,16,19,19
96,18,18,18,8,8,16,17,19,19
97,19,19,19,9,9,17,17,19,19
98,19,19,19,9,9,18,18,20,20
99,20,20,20,10,10,19,19,20,20
100,20,20,20,10,10,20,20,20,20
101,11,11,11,11,1,11,11,11,11
102,11,11,11,11,1,11,11,12,12
103,12,12,12,12,2,11,11,13,13
104,12,12,12,12,2,12,12,14,14
105,13,13,13,13,3,12,12,14,15
106,13,13,13,13,3,12,12,15,15
107,14,14,14,14,4,13,13,15,16
108,14,14,14,14,4,13,13,16,16
109,15,15,15,15,5,13,13,16,17
110,15,15,15,15,5,14,14,17,17
111,16,16,16,16,6,14,14,17,17
112,16,16,16,16,6,14,15,18,18
113,17,17,17,17,7,15,15,18,18
114,17,17,17,17,7,15,16,18,18
115,18,18,18,18,8,16,16,19,19
116,18,18,18,18,8,16,17,19,19
117,19,19,19,19,9,17,17,19,19
118,19,19,19,19,9,18,18,20,20
119,20,20,20,20,10,19,19,20,20
120,20,20,20,20,10,20,20,20,20
121,11,11,11,11,11,11,11,11,11
122,11,11,11,11,11,11,11,12,12
123,12,12,12,12,12,11,11,13,13
124,12,12,12,12,12,12,12,14,14
125,13,13,13,13,13,12,12,14,15
126,13,13,13,13,13,12,12,15,15
127,14,14,14,14,14,13,13,15,16
128,14,14,14,14,14,13,13,16,16
129,15,15,15,15,15,13,13,16,17
130,15,15,15,15,15,14,14,17,17
131,16,16,16,16,16,14,14,17,17
132,16,16,16,16,16,14,15,18,18
133,17,17,17,17,17,15,15,18,18
134,17,17,17,17,17,15,16,18,18
135,18,18,18,18,18,16,16,19,19
136,18,18,18,18,18,16,17,19,19
137,19,19,19,19,19,17,17,19,19
138,19,19,19,19,19,18,18,20,20
139,20,20,20,20,20,19,19,20,20
140,20,20,20,20,20,20,20,20,20
141,11,11,11,11,11,11,11,11,11
142,11,11,11,11,11,11,11,12,12
143,12,12,12,12,12,11,11,13,13
144,12,12,12,12,12,12,12,14,14
145,13,13,13,13,13,12,12,14,15
146,13,13,13,13,13,12,12,15,15
147,14,14,14,14,14,13,13,15,16
148,14,14,14,14,14,13,13,16,16
149,15,15,15,15,15,13,13,16,17
150,15,15,15,15,15,14,14,17,17
151,16,16,16,16,16,14,14,17,17
152,16,16,16,16,16,14,15,18,18
153,17,17,17,17,17,15,15,18,18
154,17,17,17,17,17,15,16,18,18
155,18,18,18,18,18,16,16,19,19
156,18,18,18,18,18,16,17,19,19
157,19,19,19,19,19,17,17,19,19
158,19,19,19,19,19,18,18,20,20
159,20,20,20,20,20,19,19,20,20
160,20,20,20,20,20,20,20,20,20
